read: primers
4371: fw_6
6307: rv_4
10285: fw_4
6403: rv_11
3993: rv_11
5689: rv_11
6365: fw_5
2922: rv_9
4342: rv_2
5148: rv_11
3684: rv_11
3764: rv_6
2477: rv_3
3782: rv_5
3466: rv_11
3911: rv_3
5729: rv_12
4425: rv_9
4677: rv_11
6277: rv_5
5831: rv_9
1804: rv_11
3077: rv_8
3495: rv_11
3470: fw_4
4824: rv_2
3627: rv_11
6488: fw_5
4086: rv_11
3843: rv_6
4355: fw_4
3757: rv_6
2670: rv_9
4215: rv_6
3444: rv_11
2753: rv_11
4205: rv_11
3852: fw_7
3874: rv_11
3697: rv_11
11173: rv_6
4151: rv_11
4318: rv_11
5793: rv_6
6196: rv_7
6391: rv_5
4217: rv_11
3093: rv_9
